Neu-Ulm, GKSt;89231;  80,95; 56 978; 28 080; 28 898
Göppingen, Stadt;73033;  59,21; 56 904; 28 140; 28 764
Hameln, Stadt;31785;  102,53; 56 747; 27 063; 29 684
Stolberg (Rhld.), Kupferstadt;52222;  98,48; 56 366; 27 937; 28 429
Sankt Augustin, Stadt;53757;  34,22; 56 115; 27 428; 28 687
Eschweiler, Stadt;52249;  75,75; 56 008; 27 331; 28 677
Görlitz, Stadt;02826;  67,52; 55 904; 26 915; 28 989
Hilden, Stadt;40721;  25,95; 55 569; 26 782; 28 787
Meerbusch, Stadt;40667;  64,39; 55 091; 26 219; 28 872
Waiblingen, Stadt;71332;  42,75; 54 824; 26 866; 27 958
Hattingen, Stadt;45525;  71,66; 54 744; 26 581; 28 163
Baden-Baden, Stadt;76530;  140,19; 54 307; 25 920; 28 387
Lingen (Ems), Stadt;49808;  176,19; 53 905; 26 677; 27 228
Pulheim, Stadt;50259;  72,15; 53 834; 25 981; 27 853
Bad Salzuflen, Stadt;32105;  100,05; 53 746; 25 803; 27 943
Bad Homburg v. d. Höhe, Stadt;61348;  51,16; 53 707; 25 444; 28 263
Langenhagen, Stadt;30853;  71,97; 53 514; 26 236; 27 278
Menden (Sauerland), Stadt;58706;  86,10; 53 315; 26 180; 27 135
Nordhorn, Stadt;48529;  149,87; 53 286; 26 280; 27 006
Neustadt an der Weinstraße, Stadt;67433;  117,09; 53 209; 25 873; 27 336
Ahlen, Stadt;59227;  123,13; 52 905; 25 899; 27 006
Schweinfurt;97421;  35,70; 52 724; 25 637; 27 087
Wetzlar, Stadt;35578;  75,67; 52 446; 25 250; 27 196
Wolfenbüttel, Stadt;38300;  78,74; 52 446; 25 858; 26 588
Frechen, Stadt;50226;  45,06; 52 171; 25 422; 26 749
Goslar, Stadt;38640;  163,88; 51 439; 25 061; 26 378
Ibbenbüren, Stadt;49477;  108,87; 51 289; 25 320; 25 969
Passau;94032;  69,56; 51 074; 24 380; 26 694
Kleve, Stadt;47533;  97,76; 51 047; 25 249; 25 798
Willich, Stadt;47877;  67,80; 50 932; 24 904; 26 028
Speyer, Stadt;67346;  42,71; 50 551; 24 413; 26 138
Emden, Stadt;26721;  112,34; 50 486; 25 205; 25 281
Gummersbach, Stadt;51643;  95,42; 50 368; 24 849; 25 519
